Team,Season Wages,Final League Standing,Points Gained,,,
Manchester City,202,1,89,,,2011-2012
Manchester United,162,2,89,,,http://www.theguardian.com/football/2013/apr/18/premier-league-finances-club-by-club
Arsenal,143,3,70,,,
Tottenham Hotspur,90,4,69,,,
Newcastle United,64,5,65,,,
Chelsea,173,6,64,,,
Everton,63,7,56,,,
Liverpool,119,8,52,,,
Fulham,62,9,52,,,
West Bromwich Albion,50,10,47,,,
Swansea City,35,11,47,,,
Norwich City,37,12,47,,,
Sunderland,64,13,45,,,
Stoke City,53,14,45,,,
Wigan Athletic,38,15,43,,,
Aston Villa,70,16,38,,,
Queens Park Rangers,58,17,37,,,
Bolton Wanderers,55,18,36,,,
Blackburn Rovers,50,19,31,,,
Wolverhampton Wanderers,38,20,25,,,