Venue Name,City,Team,Region,Country,Timezone,Altitude,Latitude,Longitude,Config Date,Surface,Length,Width,Capacity,Seats
Emirates Stadium,Holloway,Arsenal,Greater London,England,Europe/London,41,51.555,-0.108611,22/07/2006,Desso GrassMaster,105,68,60361,60361
Villa Park,Birmingham,Aston Villa,West Midlands,England,Europe/London,138,52.509167,-1.884722,11/11/2001,Desso GrassMaster,105,68,42682,42682
Ewood Park,Blackburn,Blackburn Rovers,Lancashire,England,Europe/London,91,53.728611,-2.489167,01/08/1994,Natural Grass,105,69,31367,31367
Reebok Stadium,Bolton,Bolton Wanderers,Greater Manchester,England,Europe/London,115,53.580556,-2.535556,01/09/1997,Desso GrassMaster,105,68,28100,28100
Stamford Bridge,Fulham,Chelsea,Greater London,England,Europe/London,12,51.481667,-0.191111,01/08/2001,Natural Grass,105,68,42449,42449
Goodison Park,Liverpool,Everton,Merseyside,England,Europe/London,44,53.438875,-2.966354,17/09/1994,Natural Grass,100,68,40157,40157
Craven Cottage,Fulham,Fulham,Greater London,England,Europe/London,8,51.475,-0.221667,10/07/2004,Desso GrassMaster,105,68,25700,25700
Anfield,Liverpool,Liverpool,Merseyside,England,Europe/London,65,53.430819,-2.960828,01/07/1998,Desso GrassMaster,101,68,45276,45276
Etihad Stadium,Manchester,Manchester City,Greater Manchester,England,Europe/London,60,53.483056,-2.200278,10/08/2003,Desso GrassMaster,105,68,47405,47405
Old Trafford,Manchester,Manchester United,Greater Manchester,England,Europe/London,38,53.463056,-2.291389,15/08/2009,Natural Grass,105,68,75811,75811
Sports Direct Arena,Newcastle upon Tyne,Newcastle United,Northumberland,England,Europe/London,20,54.975556,-1.621667,01/09/2011,Natural Grass,105,68,52409,52409
Carrow Road,Norwich,Norwich City,Norfolk,England,Europe/London,9,52.622128,1.308653,01/08/2010,Desso GrassMaster,105,68,27183,27183
Loftus Road,Shepherd's Bush,Queens Park Rangers,Greater London,England,Europe/London,10,51.509167,-0.232222,01/08/1994,Desso GrassMaster,105,68,18439,18439
Britannia Stadium,Stoke-on-Trent,Stoke City,Staffordshire,England,Europe/London,132,52.988333,-2.175556,01/01/2000,Natural Grass,100,64,27740,27740
Stadium of Light,Sunderland,Sunderland,Tyne and Wear,England,Europe/London,30,54.9144,-1.3882,10/07/2005,Natural Grass,105,68,49000,49000
White Hart Lane,Tottenham,Tottenham Hotspur,Greater London,England,Europe/London,18,51.603333,-0.065833,01/07/1998,Desso GrassMaster,100,67,36230,36230
The Hawthorns,West Bromwich,West Bromwich Albion,West Midlands,England,Europe/London,171,52.509167,-1.963889,15/04/2008,Desso GrassMaster,105,68,27877,27877
DW Stadium,Wigan,Wigan Athletic,Greater Manchester,England,Europe/London,25,53.547778,-2.653889,07/08/1999,Natural Grass,105,68,25133,25133
Molineux Stadium,Wolverhampton,Wolverhampton Wanderers,West Midlands,England,Europe/London,144,52.590278,-2.130278,01/07/2012,Natural Grass,100,64,27828,27828
Liberty Stadium,Swansea,Swansea City,West Glamorgan,Wales,Europe/London,11,51.6422,-3.9351,10/07/2005,Desso GrassMaster,105,68,20520,20520